,position_index,billboard_image_at_position_text,fix_bill,recall,recognition
0,1,smartphone,2.0,0,0
1,2,disobey_vape,3.0,0,1
2,3,drunk_driving,4.0,1,1
3,4,underage_drinking,3.0,0,1
4,5,binge_drinking,3.0,0,1
5,6,furniture,3.0,0,1
6,7,burger,1.0,0,1
7,8,hotel,1.0,1,1
8,9,buckle_up,4.0,0,1
9,10,texting_driving,0.0,1,1
10,11,stop_smoking,5.0,1,1
11,12,education_donation,5.0,0,1
12,13,salad,4.0,0,1
13,14,marijuana_driving,1.0,1,1
14,15,drugged_driving,3.0,1,1
15,16,pizza,2.0,1,1
16,17,lawyer,2.0,1,1
17,18,brunch,3.0,1,1
18,19,distracted_driving,3.0,0,1
19,20,coffee,5.0,0,1
