,position_index,billboard_image_at_position_text,fix_bill,recall,recognition
0,1,coffee,4.0,0,1
1,2,disobey_vape,3.0,1,0
2,3,brunch,1.0,0,0
3,4,furniture,1.0,0,0
4,5,drugged_driving,4.0,0,1
5,6,education_donation,2.0,0,1
6,7,lawyer,1.0,0,1
7,8,hotel,2.0,1,1
8,9,pizza,0.0,0,0
9,10,salad,2.0,0,1
10,11,smartphone,1.0,0,0
11,12,texting_driving,1.0,0,1
12,13,marijuana_driving,2.0,0,1
13,14,burger,1.0,1,1
14,15,distracted_driving,2.0,0,0
15,16,binge_drinking,1.0,0,0
16,17,stop_smoking,2.0,1,1
17,18,underage_drinking,2.0,0,1
18,19,buckle_up,0.0,1,1
19,20,drunk_driving,3.0,1,0
