,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,distracted_driving,1.0,0,1,1
1,2,salad,0.0,0,0,1
2,3,lawyer,0.0,0,0,1
3,4,coffee,0.0,0,1,1
4,5,stop_smoking,0.0,0,0,1
5,6,texting_driving,2.0,0,1,1
6,7,underage_drinking,1.0,0,0,1
7,8,disobey_vape,0.0,0,0,1
8,9,marijuana_driving,0.0,0,0,1
9,10,drunk_driving,0.0,0,0,1
10,11,hotel,1.0,0,1,1
11,12,drugged_driving,1.0,0,1,1
12,13,education_donation,2.0,0,1,1
13,14,furniture,1.0,0,0,1
14,15,brunch,1.0,1,1,1
15,16,buckle_up,0.0,1,1,1
16,17,binge_drinking,0.0,0,0,1
17,18,burger,0.0,0,0,1
18,19,pizza,0.0,0,0,1
19,20,smartphone,1.0,0,0,1
